	Joy	Sadness	Neutral	Disgust	Anger	Surprise	Fear
52	0.150581800931	0.219409101564	1.07948527888	0.0140872208241	0.228689943972	0.255935129007	-1.29557020854
53	-0.0478578775402	-0.603782012449	1.5371497308	0.0778468873252	-0.79465980554	0.338839694731	0.169606601866
54	-0.0449641545634	0.303725869921	1.59131050047	-0.433318572733	-0.152523666693	-0.0910616053065	-0.448313067308
55	-0.345195008988	-0.0489777310805	1.2664987231	-0.279687244536	-0.130968702657	0.205121758128	0.140442621826
56	-0.374752442565	-0.455925530359	1.61166336993	0.341667823531	-1.11777271924	0.79747249601	-0.198639345863
57	-0.129760182134	0.210168074845	1.56492940991	-0.50919751192	-0.957098908746	-0.0131113132497	0.157092046326
58	-0.819352562115	0.258223898558	1.51375430342	-0.240077452186	0.22990539505	-0.148916387868	-0.600973991304
59	-0.406873174648	0.167052943411	1.61829399716	-0.646417091345	-0.216693130289	0.521881262986	-0.801690879247
5am	0.190833287953	0.113542202166	-0.955746637681	-0.0052400573597	0.998085873684	-0.393862787206	-0.243848565972
5k	1.25997587524	0.054202060294	-0.227437459634	-0.328496397157	-0.537810936628	0.567741722588	-0.32483978173
5pm	-0.0372740468696	-0.428344188766	1.17681889415	-0.0222695559141	0.24278710325	0.086828825377	-0.411810256459
5s	-0.53327274849	-0.0272703211936	1.67146443479	0.648006278441	-0.487830873054	-0.455900897856	-1.74842086993
5sos	1.04080033469	2.2339196757	-1.91478778464	-0.521426251503	-1.28234910074	-1.03925554354	-1.8743858338
5th	0.496447583843	-0.427575315222	-0.117355382597	-0.0920979191392	0.776642266564	-0.0163803644427	0.0343652650987
60	-0.0456586873056	-0.161406849952	1.41542805204	-0.400000462643	0.0172402201247	0.807502141577	-0.520870020174
600	0.208273343214	0.665750229133	0.222505860289	0.546998562941	-0.891588687583	0.438649864051	-0.612298689936
64	-0.26788163537	-0.568494427015	2.31666108139	-0.0606112566802	-0.220662632924	-0.066786698208	-1.76522771073
65	0.271947472563	-1.07626977878	1.44902030971	-0.0415141477838	-0.0718100790965	0.271491478645	-0.057772499279
66	-1.20226401485	-1.71723017246	1.31180161158	-1.62709178057	-2.10174509543	-0.727739574532	4.11714360828
67	0.29395819342	0.194273661489	1.93261137338	-0.955769512389	-0.381227066023	-1.01456872221	-0.812279585582
69	0.522244794847	-0.438203839812	1.58107886012	0.106238982525	-1.21846012997	-0.172508900656	-0.824627301988
6am	0.271972797199	0.102394839627	-1.16346633656	0.57201290204	1.2479469872	-1.64679342925	-1.0244974184
6pm	-0.753060157693	-0.255197822242	0.149327064638	0.281534222809	0.733892140646	-0.0340301159681	0.361592902461
6s	0.438960949702	-0.278121414514	-0.124475146521	0.421645613122	0.300783761543	0.344639509426	-0.799707602481
6th	0.50720100214	-0.505726051807	0.452016467807	-0.147989393439	0.131104666149	-0.0767672360154	0.33764115144
70	-0.0373043345399	0.155721383253	0.99502894065	-0.397525391847	0.430651793133	-0.304069009418	-0.296107239863
700	0.502598525384	0.367665388347	0.910435346158	0.634998638707	-1.03549982906	0.649668119072	-1.31850007021
70s	0.432057425155	-0.167270105577	-0.145571344641	0.914819980315	-0.982818014116	0.829006091292	0.14463841052
72	-0.078355359332	-0.802224405185	1.75682463941	-0.181950839889	-0.913932072686	0.896282920424	-0.124127551549
75	0.259707122246	0.199748922296	1.25887176677	-0.743042833566	-0.0471768536712	0.396961201663	-1.1179671907
7am	0.197135444381	0.487129380586	-0.709668528342	0.478876247126	0.739373306039	-0.437307712755	-1.00842871511
7pm	-0.497209824746	-1.07827804673	1.64581327959	-0.557443223619	0.406433819426	0.0615702917955	0.0433496677087
7th	0.265859653636	0.495730516392	0.196144830778	0.135947056302	-0.689265534835	0.118469358973	-0.0234484236848
80	-0.201873833689	0.0502763955503	0.424043035974	0.266643597405	0.308149844079	0.66527810165	-0.52305343981
800	0.110032764995	-0.420746342423	1.29096222207	-0.633594624013	0.302000414358	0.455715279585	-0.701579992472
80s	-0.287264151127	0.281790098721	0.703601493742	0.43401187007	-0.385108402162	0.405581586103	-0.0387135582771
85	0.156175410874	-0.247886742609	1.24035988659	0.0313843984729	-0.83641988035	1.25058226931	-0.406262975722
89	-0.104772642631	0.178852193876	1.14095116397	-0.630518700233	0.867282247807	-0.871946124015	-0.335987921088
8am	1.32745380723	-1.2564982275	-0.740823997867	0.613597841803	0.947665519958	-0.516772464461	-1.27155211894
8th	-0.304793612353	-0.0788510442515	0.643404737184	-0.199438504215	0.0366959179352	0.144717316026	0.550575043514
90	1.0126505904	-0.118763081153	-0.326018121152	0.480440020185	-0.0606417297414	0.627118683361	-1.1079050869
90 of	-0.789877859049	0.645352616167	-0.426147939985	-0.195500672496	1.09203567627	-0.787253836037	0.416137847668
900	0.885420013096	-0.289740167392	1.43912005677	-1.09455461492	0.00865454110361	-0.616541699137	-0.266679382463
90s	0.874444063976	0.445738962893	-0.33966696128	0.583559657802	-0.827328449771	-0.257149812391	-0.198365282978
911	-0.484342461709	0.829576415403	1.17865878385	-0.914917844189	-2.08947464775	-0.603620156695	1.85067105287
92	1.78977787463	-0.0169835610386	-0.0188550443467	-0.872344972148	-0.343828846643	-0.26124726803	-0.725539979513
95	0.429094224704	0.0812308185822	0.380412499873	0.183897235874	0.317049193273	-0.00161150772579	-1.28179934903
96	0.846951664439	-0.661749390773	1.88429874802	-0.36112310667	-0.973815318551	-0.133188543496	-0.7385666874
97	0.338071500889	0.23586774401	1.01995353253	0.55774134724	-0.690647266263	-0.759134386198	-0.250513433543
98	0.545652390248	-0.662017142025	0.428836018526	0.445901307231	0.100557091304	0.542442628829	-0.514682394738
9810	-1.47037373011	-1.24202440019	3.08883267391	-1.06642081384	-1.10120040058	-0.754465709521	-1.43227231429
9850	-0.730214955162	-0.65293078596	1.91655396946	-0.675255512384	-0.635708139354	-0.394709869778	-1.00704009891
9860	-1.13405907842	-0.808328422113	2.15592975289	-0.818368920047	-0.703800669349	-0.531453912814	-1.10689422194
99	-0.417102927356	-0.097279406295	1.91549008854	-0.35623914601	0.230783123865	-1.22591353999	-1.1347299936
9900	-2.10231685982	-1.78071231561	4.83018294925	-1.39140153634	-2.09877493481	-1.24936336986	-2.02530362715
9am	0.794300728387	-0.335444547642	0.04787985976	-0.0487450412557	0.727180346042	-0.539786218225	-0.555369298538
9pm	-0.964339601678	-0.363788499699	1.73169526932	-0.100119487652	0.808441096765	-0.955354804576	-0.849172291546
9th	0.447597494571	0.112295681295	0.510985402223	-0.265332802473	-0.511594594649	-0.504235393168	0.564369622416
__	-1.71666068018	-0.823041043567	2.65190990506	-0.614513703907	1.94940205801	-0.48148894597	-1.90685832439
aaron	-0.707034487457	0.444166802013	1.81568148169	-0.0523421555403	-1.0483585778	0.474363711658	-0.416487995852
ab	-0.966055357028	0.427894739192	1.01219883908	0.0833278277599	0.38880542045	0.932440303047	-0.426701626404
abandoned	-1.30014249145	2.59155939715	-2.3016426366	-0.659614269371	-1.03198473941	-0.12351711956	1.75701637457
abc	-2.58217303066	-1.36549606179	5.39517030484	-1.13039522523	-0.787287471564	-1.346429198	-1.84545986897
ability	0.153614029858	-0.302520349049	-0.92532992079	-0.704341345376	0.641062033482	1.25739755607	0.615287316553
ability to	-0.0368114966378	0.286746851122	0.327723500584	0.0177443319331	0.293652264046	0.0520518295576	-0.750430384946
able	0.473483953863	0.440564136092	0.0235792904552	-0.321524877147	-0.249919561777	-0.389567575337	0.160986131223
able to	0.963916305324	-0.848912882228	-0.055460669425	-0.58498104859	0.867189160613	0.0950828150951	-0.922633326011
able to get	0.50247797759	-0.239606706727	0.643194686129	-0.372191834826	0.695871425276	-0.803996578667	-1.08242242416
able to go	-0.682565999794	1.91663571203	-0.294552059644	-0.425086583645	-0.498946942067	0.0955781961183	-1.21516995526
able to see	0.530066990721	0.867156595728	-0.857080637872	-0.43629297464	-0.51212844441	-0.226263309588	-0.105732617102
able to sleep	-1.01667194319	-1.51747553838	-0.760622066715	-1.0057377185	-0.00827614141559	-0.11886224575	3.73862522624
able to watch	-1.01920637683	1.58778286259	-0.764843047627	-1.44122628722	0.319646579351	-0.227597291737	-0.312241168181
abortion	-1.40237087151	0.263880276664	-1.46331076607	2.89895157439	-1.19303200069	-0.655686044774	-0.741809095069
about	-1.36908099295	0.352830972627	1.03498224628	0.701324132848	-0.033952256145	-0.00711124912558	0.979265991241
about all	-0.121635675073	0.889125819695	-0.661621107217	-0.449032250053	-0.883661624879	0.829580801881	0.247654875775
about an	-0.751861670026	0.422113140106	-0.161020704144	-0.119024428523	0.102724473661	0.241034290072	0.727561309847
about anything	0.136541396087	1.27035225839	0.111225538614	-0.650580190414	-0.145012293977	-0.661574024032	-0.405486002445
about being	1.10556607916	-0.314840087026	-0.774018871566	0.563403192527	-0.266269051743	-0.0663620119535	-0.459872128964
about everything	-0.697420415584	-0.685626859086	-1.11506314895	-1.38173887442	2.38267432503	-0.176832671495	-0.287192702251
about getting	0.0575142701299	-0.327990661931	0.877921351849	-0.0872329464619	-0.472558250801	0.228272057503	0.414382279608
about going	-0.479230334923	-0.0518508579286	-0.279788505815	0.123010498725	0.298554354293	0.148006476944	-0.00146629148773
about having	0.383940067577	-0.317910082801	-0.260546338724	0.933033828435	-0.360514488164	-0.674099710104	0.0817196723149
about her	0.651543053177	-0.0463837243204	-0.116881759015	0.572370316624	0.824173526131	-0.449068000128	-1.85144483296
about him	-0.482801990033	0.393059809275	-0.96229957489	0.298098363414	0.0668591359916	0.393941853056	-0.21618713511
about his	0.126836303935	0.419768209847	1.10231444491	-0.744919070162	-0.148341652036	0.251684385993	-0.597891508927
about how	0.664091529938	0.352923738092	-0.438710879795	-0.0729376987165	0.121034601697	-0.686651145648	-0.50307230326
about is	-1.01678764442	0.882902388713	-1.16313221334	0.414613520633	0.169984056039	-0.582028950073	-0.260291980013
about it	-0.275722857844	0.173871837782	-0.185193958147	-0.575428296715	0.50134880553	0.445943315776	-0.261964534301
about life	1.20625298115	0.179044404945	-0.35250228989	-0.906920069406	-0.0686077541183	0.440101511667	-0.788295203188
about me	0.68689786366	1.05413417494	-1.75891215523	-1.4870512691	-0.0961674334875	0.359410205174	-0.155447614598
about my	0.174411695373	-0.25632572781	-0.530671476413	-0.159300057588	0.232698302983	-0.565886114787	0.550149637824
about not	0.386650217364	0.0586912137279	-0.0213319011243	0.578399931244	-0.573882779396	-0.463463733095	0.103042699319
